Id,Symbol,Type,Volume,Entry Time,Entry Price,Exit Time,Exit Price,Exit Balance,Exit Equity,Profit,Margin,Fee,Closed,ticket,open time,opening_price,close time,closing_price,actual_profit,recalculated_profit,profit_difference,entry_difference,exit_difference,profit_abs_difference
62,EURUSD,Buy,0.69,5/10/2024 12:00,1.07797,5/10/2024 16:00,1.07872,219148.3107,219017.0807,50.37,743.7993,2.00E-05,TRUE,59885847,2024.05.10 13:00:03,1.07795,2024.05.10 15:42:04,1.07695,-1,-69,-18.63,2.00E-05,0.00177,18.63
61,EURUSD,Buy,1.23,5/10/2024 6:00,1.07759,5/10/2024 13:00,1.07785,219097.9407,219101.7207,29.52,1325.4357,2.00E-05,TRUE,59884740,2024.05.10 07:00:05,1.07763,2024.05.10 14:00:06,1.07786,0.23,28.29,1.23,-4.00E-05,-1.00E-05,1.23
60,EURUSD,Buy,1.08,5/10/2024 1:00,1.07844,5/10/2024 8:00,1.07756,219068.4207,219020.6907,-98.28,1164.7152,3.00E-05,TRUE,59884698,2024.05.10 02:00:02,1.07851,2024.05.10 05:11:21,1.07751,-1,-108,-9.72,-7.00E-05,5.00E-05,9.72
59,EURUSD,Buy,1.85,5/9/2024 17:00,1.07757,5/10/2024 4:00,1.0776,219166.7007,219169.4307,3.7,1993.5045,1.00E-05,TRUE,59876927,2024.05.09 18:00:04,1.07768,2024.05.09 23:55:02,1.07823,0.55,101.75,-98.05,-0.00011,-0.00063,98.05
58,EURUSD,Buy,0.2,5/9/2024 1:00,1.07489,5/10/2024 1:00,1.07844,219163.0007,219277.0007,70.6,214.978,2.00E-05,TRUE,59866733,2024.05.09 02:00:05,1.07496,2024.05.09 09:41:29,1.07396,-1,-20,50.6,-7.00E-05,0.00448,50.6
56,EURUSD,Buy,0.94,5/8/2024 21:00,1.07451,5/9/2024 15:00,1.07592,219092.4007,218748.9407,131.6,1010.0394,1.00E-05,TRUE,59866410,2024.05.08 22:00:03,1.07454,2024.05.08 23:55:06,1.07473,0.19,17.86,113.74,-3.00E-05,0.00119,113.74
57,EURUSD,Sell,0.52,5/9/2024 0:00,1.07487,5/9/2024 1:00,1.07489,218960.8007,218995.5807,-7.8,558.9324,0.00013,TRUE,59866663,2024.05.09 01:00:03,1.07488,2024.05.09 02:00:06,1.07496,-0.08,-4.16,3.64,-1.00E-05,-7.00E-05,3.64
55,EURUSD,Sell,0.05,5/8/2024 19:00,1.07457,5/8/2024 23:00,1.07481,218968.6007,218972.7207,-1.25,53.7285,1.00E-05,TRUE,59866016,2024.05.08 20:00:04,1.07458,2024.05.09 00:04:53,1.07558,-1,-5,-3.75,-1.00E-05,-0.00077,3.75
53,EURUSD,Buy,1.53,5/8/2024 14:00,1.07461,5/8/2024 21:00,1.07451,218969.8507,218939.0207,-16.83,1644.1533,1.00E-05,TRUE,59863929,2024.05.08 15:00:02,1.07463,2024.05.08 22:00:04,1.07453,-0.1,-15.3,1.53,-2.00E-05,-2.00E-05,1.53
54,EURUSD,Buy,0.51,5/8/2024 17:00,1.07493,5/8/2024 19:00,1.07457,218986.6807,219162.6307,-18.87,548.2143,1.00E-05,TRUE,59865481,2024.05.08 18:00:02,1.07492,2024.05.08 20:00:05,1.07458,-0.34,-17.34,1.53,1.00E-05,-1.00E-05,1.53
52,EURUSD,Sell,0.08,5/8/2024 11:00,1.07441,5/8/2024 17:00,1.07493,219005.5507,219074.7307,-4.48,85.9528,4.00E-05,TRUE,59863558,2024.05.08 12:00:03,1.07446,2024.05.08 17:23:32,1.07546,-1,-8,-3.52,-5.00E-05,-0.00053,3.52
51,EURUSD,Buy,0.33,5/8/2024 10:00,1.07387,5/8/2024 13:00,1.07489,219010.0307,219011.8707,33,354.3771,2.00E-05,TRUE,59863434,2024.05.08 11:00:04,1.07379,2024.05.08 14:00:04,1.07488,1.09,35.97,-2.97,8.00E-05,1.00E-05,2.97
50,EURUSD,Sell,0.14,5/8/2024 7:00,1.07412,5/8/2024 11:00,1.07441,218977.0307,218981.6507,-4.2,150.3768,1.00E-05,TRUE,59863207,2024.05.08 08:00:05,1.07411,2024.05.08 12:00:04,1.0745,-0.39,-5.46,-1.26,1.00E-05,-9.00E-05,1.26
49,EURUSD,Buy,0.64,5/8/2024 2:00,1.07498,5/8/2024 9:00,1.07446,218981.2307,218956.8307,-35.84,687.9872,4.00E-05,TRUE,59862954,2024.05.08 03:00:04,1.07503,2024.05.08 04:59:57,1.07403,-1,-64,-28.16,-5.00E-05,0.00043,28.16
47,EURUSD,Buy,0.09,5/7/2024 20:00,1.07567,5/7/2024 22:00,1.07564,219257.0507,219252.4607,-0.45,96.8103,2.00E-05,TRUE,59860840,2024.05.07 21:00:04,1.07562,2024.05.07 23:00:04,1.07564,0.02,0.18,0.27,5.00E-05,0,0.27
46,EURUSD,Buy,0.53,5/7/2024 17:00,1.07778,5/7/2024 21:00,1.07514,219257.5007,219282.9307,-140.45,571.2234,1.00E-05,TRUE,59857273,2024.05.07 18:00:03,1.07777,2024.05.07 18:58:37,1.07677,-1,-53,87.45,1.00E-05,-0.00163,87.45
45,EURUSD,Buy,1.25,5/7/2024 16:00,1.07806,5/7/2024 18:00,1.07665,219397.9507,219538.6707,-177.5,1347.575,1.00E-05,TRUE,59854260,2024.05.07 17:00:03,1.07808,2024.05.07 18:41:10,1.07708,-1,-125,52.5,-2.00E-05,-0.00043,52.5
44,EURUSD,Sell,0.62,5/7/2024 14:00,1.07666,5/7/2024 17:00,1.07778,219575.4507,219558.1007,-70.68,667.5292,2.00E-05,TRUE,59849485,2024.05.07 15:00:03,1.07666,2024.05.07 15:39:29,1.07766,-1,-62,8.68,0,0.00012,8.68
43,EURUSD,Buy,1.33,5/7/2024 12:00,1.07595,5/7/2024 15:00,1.07754,219646.1307,219528.5607,210.14,1431.0135,1.00E-05,TRUE,59848762,2024.05.07 13:00:03,1.076,2024.05.07 16:00:03,1.07759,1.59,211.47,-1.33,-5.00E-05,-5.00E-05,1.33
42,EURUSD,Buy,0.8,5/7/2024 11:00,1.07638,5/7/2024 12:00,1.07595,219435.9907,219490.5207,-36,861.104,2.00E-05,TRUE,59847674,2024.05.07 12:00:03,1.07638,2024.05.07 13:00:05,1.07598,-0.4,-32,4,0,-3.00E-05,4
41,EURUSD,Buy,0.53,5/7/2024 9:00,1.07636,5/7/2024 12:00,1.07595,219471.9907,219490.5207,-21.73,570.4708,0,TRUE,59846632,2024.05.07 10:00:04,1.07642,2024.05.07 13:00:04,1.07598,-0.44,-23.32,-1.59,-6.00E-05,-3.00E-05,1.59
40,EURUSD,Buy,0.76,5/7/2024 6:00,1.07686,5/7/2024 8:00,1.07583,219493.7207,219550.7207,-79.8,818.4136,2.00E-05,TRUE,59846431,2024.05.07 07:00:20,1.07689,2024.05.07 08:56:44,1.07589,-1,-76,3.8,-3.00E-05,-6.00E-05,3.8
39,EURUSD,Buy,0.58,5/7/2024 3:00,1.0775,5/7/2024 7:00,1.07658,219573.5207,219589.5807,-53.36,624.95,0,TRUE,59846259,2024.05.07 04:00:05,1.07749,2024.05.07 04:47:41,1.07649,-1,-58,-4.64,1.00E-05,9.00E-05,4.64
38,EURUSD,Buy,0.19,5/7/2024 2:00,1.07673,5/7/2024 6:00,1.07686,219626.8807,219552.0307,2.28,204.5787,1.00E-05,TRUE,59846205,2024.05.07 03:00:03,1.07681,2024.05.07 07:00:21,1.07687,0.06,1.14,1.14,-8.00E-05,-1.00E-05,1.14
37,EURUSD,Buy,0.94,5/6/2024 21:00,1.07746,5/7/2024 3:00,1.0775,219624.6007,219559.9407,0,1012.8124,4.00E-05,TRUE,59845292,2024.05.06 22:00:02,1.07747,2024.05.06 23:55:02,1.07696,-0.51,-47.94,-47.94,-1.00E-05,0.00054,47.94
,,,,,,,,,,-236.31,,,,,,,,,-9.53,-396.86,,,,
